"","Item","IPIP100","BFAS","HEXACO","QB6","MPQ","IPIPneo","EPQr","PS"
"q_6","Accept people as they are.","NULL","NULL","H:A:G","NULL","NULL","NULL","NULL","NULL"
"q_20","Act comfortably with others.","NULL","NULL","NULL","NULL","MPQ:AL","E1:FR","NULL","NULL"
"q_22","Act impulsively when something is bothering me.","NULL","NULL","H:C:PR","NULL","NULL","NULL","NULL","NULL"
"q_23","Act like different people in different situations.","NULL","NULL","H:H:S","NULL","NULL","NULL","NULL","NULL"
"q_26","Act or feel in a way that does not fit me.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_31","Act wild and crazy.","NULL","NULL","NULL","NULL","NULL","E5:ES","NULL","NULL"
"q_35","Act without thinking.","NULL","NULL","NULL","NULL","NULL","C6:CA","NULL","NULL"
"q_38","Adapt easily to new situations.","NULL","NULL","NULL","NULL","NULL","N1:ANX","NULL","NULL"
"q_39","Adjust easily.","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_40","Admire a really clever scam.","NULL","NULL","H:H:F","NULL","NULL","NULL","NULL","NULL"
"q_43","Always admit it when I make a mistake.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_44","Always know what I am doing.","NULL","BFAS:C:I","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_45","Always know why I do things.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_47","Am a creature of habit.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","NULL"
"q_52","Am a person whose moods go up and down easily.","NULL","BFAS:N:V","NULL","NULL","NULL","NULL","NULL","NULL"
"q_53","Am a physical coward.","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_55","Am a very private person.","B5:E","NULL","NULL","QB6:X","NULL","NULL","NULL","NULL"
"q_56","Am able to control my cravings.","NULL","NULL","NULL","NULL","NULL","N5:IM","NULL","NULL"
"q_63","Am able to stand up for myself.","NULL","NULL","NULL","NULL","NULL","N4:SC","NULL","NULL"
"q_66","Am afraid of many things.","NULL","BFAS:N:W","NULL","QB6:ES","NULL","N1:ANX","NULL","NULL"
"q_67","Am afraid that I will do the wrong thing.","NULL","NULL","NULL","NULL","NULL","N4:SC","NULL","NULL"
"q_69","Am afraid to draw attention to myself.","NULL","NULL","NULL","NULL","NULL","N4:SC","NULL","NULL"
"q_71","Am always busy.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_74","Am always on the go.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_76","Am always prepared.","B5:C","NULL","NULL","NULL","MPQ:UV","C5:SD","NULL","NULL"
"q_77","Am always ready to start afresh.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
